時間[s] 推定速度[km/h] 実速度[km/h]
4.222936 0 0
4.234982 0 0
4.247664 0 0
4.259034 0 0
4.270732 0 0
4.283603 0 0
4.295543 0 0
4.308175 0 0
4.319574 0 0
4.331568 0 0
4.343083 0 0
4.354769 0 0
4.366571 0 0
4.378731 0 0
4.390982 0 0
4.402713 0 0
4.414258 0 0
4.425907 0 0
4.437235 0 0
4.449221 0 0
4.460439 0 0
4.472181 0 0
4.484022 0 0
4.495852 0 0
4.507262 0 0
4.527022 0 0
4.538651 0 0
4.550918 0 0
4.566142 0 0
4.577632 0 0
4.589125 0 0
4.600723 0 0
4.612712 0 0
4.624278 0 0
4.636073 0 0
4.647944 0 0
4.659657 0 0
4.671031 0 0
4.682991 0 0
4.694617 0 0
4.706336 0 0
4.717876 0 0
4.73066 0 0
4.741968 0 0
4.7537 0 0
4.765358 0 0
4.7768 0 0
4.788295 0 0
4.800424 0 0
4.812109 0 0
4.823416 0 0
4.835588 0 0
4.847928 0 0
4.85926 0 0
4.870801 0 0
4.882587 0 0
4.894095 0 0
4.905544 0 0
4.917288 0 0
4.929365 0 0
4.941238 0 0
4.952718 0 0
4.9645 0 0
4.975826 0 0
4.987879 0 0
4.999795 0 0
5.01136 0 0
5.03123 0 0
5.043221 0 0
5.060996 0 0
5.073484 0 0
5.085148 0 0
5.097174 0 0
5.108486 0 0
5.121639 0 0
5.13351 0 0
5.145816 0 0
5.158132 0 0
5.170698 0 0
5.182472 0 0
5.194168 0 0
5.205599 0 0
5.217715 0 0
5.230298 0 0
5.24191 0 0
5.253881 0 0
5.265622 0 0
5.277363 0 0
5.289066 0 0
5.302072 0 0
5.316079 0 0
5.328062 0 0
5.339912 0 0
5.351983 0 0
5.364179 0 0
5.375596 0 0
5.387043 0 0
5.399526 0 0
5.411253 0 0
5.422797 0 0
5.434684 0 0
5.446542 0 0
5.459418 0 0
5.470712 0 0
5.482477 0 0
5.49407 0 0
5.506539 0 0
5.518368 0 0
5.538657 0 0
5.550695 0 0
5.562794 0 0
5.574639 0 0
5.586875 0 0
5.599055 0 0
5.611068 0 0
5.62363 0 0
5.635923 0 0
5.648589 0 0
5.660276 0 0
5.672104 0 0
5.684632 0 0
5.696332 0 0
5.707685 0 0
5.71959 0 0
5.731454 0 0
5.743563 0 0
5.755238 0 0
5.767389 0 0
5.779242 0 0
5.791409 0 0
5.803404 0 0
5.815475 0 0
5.827143 0 0
5.838772 0 0
5.850393 0 0
5.862539 0 0
5.874107 0 0
5.885703 0 0
5.897572 0 0
5.909099 0 0
5.920922 0 0
5.932617 0 0
5.944364 0 0
5.956913 0 0
5.968811 0 0
5.980508 0 0
5.991556 0 0
6.00334 0 0
6.015216 0 0
6.026801 0 0
6.046934 0 0
6.058864 0 0
6.071665 0 0
6.083453 0 0
6.095055 0 0
6.107554 0 0
6.119178 0 0
6.131116 0 0
6.142887 0 0
6.154807 0 0
6.166748 0 0
6.178312 0 0
6.190466 0 0
6.20281 0 0
6.215111 0 0
6.227159 0 0
6.238966 0 0
6.251278 0 0
6.263086 0 0
6.274446 0 0
6.286407 0 0
6.29823 0 0
6.309907 0 0
6.321661 0 0
6.335539 0 0
6.347572 0 0
6.359495 0 0
6.371379 0 0
6.383721 0 0
6.395996 0 0
6.407599 0 0
6.418936 0 0
6.430819 0 0
6.442358 0 0
6.453871 0 0
6.465687 0 0
6.477338 0 0
6.489299 0 0
6.50141 0 0
6.512854 0 0
6.524415 0 0
6.536709 0 0
6.556834 0 0
6.569844 0 0
6.582448 0 0
6.593927 0 0
6.605646 0 0
6.618851 0 0
6.631182 0 0
6.642532 0 0
6.654103 0 0
6.666137 0 0
6.677894 0 0
6.690073 0 0
6.701669 0 0
6.713864 0 0
6.725731 0 0
6.737657 0 0
6.749782 0 0
6.761432 0 0
6.773408 0 0
6.785216 0 0
6.796839 0 0
6.809192 0 0
6.820883 0 0
6.833183 0 0
6.845087 0 0
6.8612 0 0
6.873507 0 0
6.884977 0 0
6.896865 0 0
6.908337 0 0
6.920267 0 0
6.932364 0 0
6.944076 0 0
6.957045 0 0
6.968846 0 0
6.980576 0 0
6.993376 0 0
7.00524 0 0
7.017249 0 0
7.029108 0 0
7.044599 0 0
7.064757 0 0
7.076221 0 0
7.089063 0 0
7.101086 0 0
7.113101 0 0
7.124882 0 0
7.13681 0 0
7.148861 0 0
7.160656 0 0
