時間[s] 推定速度[km/h]
5.631333 0
5.642849 0
5.656995 0
5.670261 0
5.682402 0
5.694574 0
5.707038 0
5.719359 0
5.732037 0
5.743633 0
5.756068 0
5.767772 0
5.781573 0
5.794457 0
5.808037 0
5.821024 0
5.833162 0
5.845946 0
5.859333 0
5.871199 0
5.884039 0
5.898098 0
5.909576 0
5.922148 0
5.934261 0
5.947494 0
5.959112 0
5.970637 0
5.982481 0
5.994397 0
6.006801 0
6.018443 0
6.030644 0
6.043491 0
6.055472 0
6.070171 0
6.08268 0
6.095071 0
6.107404 0.00800734544607976
6.120005 0.00800734544607976
6.131669 0.00800734544607976
6.143091 0.00800734544607976
6.155257 0.00800734544607976
6.167062 0
6.179498 0
6.190912 0
6.202725 0
6.21459 0
6.227024 0
6.238647 0
6.25064 0
6.264122 0
6.279014 0
6.291348 0
6.303192 0
6.315062 0
6.326813 0
6.339493 0
6.351657 0
6.364314 0
6.376554 0
6.388736 0
6.401696 0
6.41468 0
6.427321 0
6.439198 0
6.451612 0
6.464023 0
6.47566 0
6.489645 0
6.502164 0
6.51875 0
6.533288 0
6.545538 0
6.55823 0
6.569792 0
6.581758 0
6.593498 0
6.605882 0
6.618182 0
6.630341 0
6.641839 0
6.653866 0
6.665981 0
6.678954 0
6.692641 0
6.704256 0
6.716972 0
6.729447 0
6.741214 0
6.75264 0
6.76472 0
6.776557 0
6.788965 0
6.801574 0
6.817913 0
6.830472 0
6.842582 0
6.854574 0
6.866138 0
6.878454 0
6.890686 0
6.905376 0
6.917689 0
6.93236 0
6.945876 0
6.958798 0
6.970637 0
6.982893 0
6.995109 0
7.007481 0
7.019181 0
7.033277 0
7.047934 0
7.061831 0
7.074214 0
7.086403 0
7.099176 0
7.11302 0
7.125595 0
7.137647 0
7.149425 0
7.161244 0
7.173907 0
7.186201 0
7.198068 0
7.209502 0
7.221498 0
7.23383 0
7.246051 0
7.258154 0
7.270051 0
7.283259 0
7.295966 0
7.30754 0
7.321412 0
7.333184 0
7.345994 0
7.358181 0
7.370278 0
7.382528 0
7.395466 0
7.408014 0
7.420101 0
7.432532 0
7.446032 0
7.458751 0
7.471149 0
7.483478 0
7.495533 0
7.510011 0
7.523482 0
7.535343 0
7.547668 0
7.560087 0
7.571683 0
7.583239 0
7.595627 0
7.607558 0
7.619753 0
7.631822 0
7.644062 0
7.655853 0
7.668081 0
7.679812 0
7.691232 0
7.703598 0
7.715989 0
7.730529 0
7.742519 0
7.758745 0
7.770196 0
7.782744 0
7.794857 0
7.806461 0
7.818323 0
7.830231 0
7.842617 0
7.85541 0
7.867792 0
7.880279 0
7.892962 0
7.904679 0
7.917366 0
7.931347 0
7.943349 0
7.9558 0
7.967837 0
7.979897 0
7.991167 0
8.003657 0
8.01538 0
8.027102 0
8.038771 0
8.052201 0
8.066532 0
8.08109 0
8.09262 0
8.104864 0
8.117055 0
8.12883 0
8.142599 0
8.15449 0
8.166827 0
8.17937 0
8.190994 0
8.202804 0
8.215011 0
8.227094 0
8.239074 0
8.251204 0
8.263131 0
8.274528 0
8.286576 0
8.298502 0
8.309975 0
8.321605 0
8.333365 0
8.347656 0
8.359087 0
8.371299 0
8.383637 0
8.396872 0
8.408526 0
8.420523 0
8.432498 0
8.444213 0
8.456726 0
8.468865 0
8.48138 0
8.492851 0
8.505408 0
8.517509 0
8.529693 0
8.54132 0
8.555272 0
8.567526 0
8.579466 0
8.591228 0
8.603699 0
8.616245 0
8.628284 0
8.639865 0
8.65315 0
8.666229 0.00800734544607976
8.678942 0.00800734544607976
8.691421 0.00800734544607976
8.703805 0.00800734544607976
8.716207 0
8.729037 0
8.740811 0
8.752798 0
8.766865 0
8.779794 0
8.792177 0
8.804147 0
8.815934 0
8.827632 0
8.840398 0
8.851926 0
8.863677 0
8.875341 0
8.887382 0
8.900862 0
8.913028 0
8.925915 0
8.938347 0
8.950901 0
8.962825 0
8.980997 0
8.992909 0
9.005422 0
9.017651 0
9.030927 0
9.042338 0
9.054225 0
9.067275 0
9.079803 0
9.091417 0
9.103004 0
9.115858 0
9.127355 0
9.139046 0
9.151146 0
9.163594 0
9.178179 0
9.190277 0
9.202891 0
9.215755 0
