時間[s] 推定速度[km/h]
0 0
0.02 0
0.07 0
0.1152638 0
0.1284781 0
0.1405552 0
0.1524611 0
0.1641385 0
0.1756033 0
0.1873638 0
0.198498 0
0.2093718 0
0.2207495 0
0.2316855 0
0.2422535 0
0.2531235 0
0.2639703 0
0.275195 0
0.2862694 0
0.2978381 0
0.3086403 0
0.319726 0
0.330618 0
0.3413092 0
0.3522144 0
0.3635829 0
0.3781464 0
0.3888589 0
0.405095 0
0.4159171 0
0.4264305 0
0.4371547 0
0.4483894 0
0.4592966 0
0.47004 0
0.4813592 0
0.492335 0
0.5034886 0
0.5156216 0
0.5273649 0
0.5393917 0
0.5517962 0
0.5639926 0
0.5746686 0
0.5860698 0
0.5966047 0
0.6078692 0
0.6189802 0
0.6298544 0
0.6405875 0
0.6512916 0
0.6622253 0
0.6728209 0
0.6836699 0
0.6942419 0
0.7048694 0
0.7156415 0
0.7271375 0
0.7377253 0
0.7485441 0
0.7590877 0
0.7741763 0
0.785555 0
0.7961932 0
0.8068504 0
0.817485 0
0.8286445 0
0.839253 0
0.8504886 0
0.8613128 0
0.8734874 0
0.8848039 0
0.8959984 0
0.9068719 0
0.9174492 0
0.9283622 0
0.9393431 0
0.9500397 0
0.9607731 0
0.9714019 0
0.9866354 0
1.019687 0
1.050035 0
1.06812 0
1.078742 0
1.090594 0
1.102087 0
1.112702 0
1.123414 0
1.135965 0
1.165161 0
1.196238 0
1.233136 0
1.264629 0
1.291626 0
1.308409 0
1.319633 0
1.330262 0
1.341212 0
1.352745 0
1.363467 0
1.374623 0
1.385553 0
1.398473 0
1.426871 0
1.443421 0
1.454815 0
1.465873 0
1.47647 0
1.487473 0
1.498682 0
1.509915 0
1.520952 0
1.533255 0
1.546426 0
1.575803 0
1.608599 0
1.626487 0
1.639213 0
1.666333 0
1.68291 0
1.699369 0
1.712414 0
1.723075 0
1.734611 0
1.74766 0
1.758471 0
1.769642 0
1.783506 0
1.794362 0
1.805158 0
1.816328 0
1.826958 0
1.838302 0
1.849474 0
1.860535 0
1.871369 0
1.882171 0
1.892579 0
1.903389 0
1.914361 0
1.925367 0
1.935975 0
1.946676 0
1.957441 0
1.968304 0
1.978666 0
1.989174 0
1.999874 0
2.010578 0
2.021593 0
2.032492 0
2.043137 0
2.05416 0
2.065783 0
2.076349 0
2.08694 0
2.09804 0
2.108828 0
2.119637 0
2.130213 0
2.140897 0
2.152092 0
2.162698 0
2.173544 0
2.184569 0
2.195459 0
2.20636 0
2.217404 0
2.228119 0
2.240225 0
2.251181 0
2.261843 0
2.272812 0
2.283964 0
2.294893 0
2.308124 0
2.321228 0
2.332539 0
2.345283 0
2.358881 0
2.370132 0
2.383075 0
2.393978 0
2.407068 0
2.420229 0
2.433953 0
2.447139 0
2.46023 0
2.473647 0
2.486558 0
2.499532 0
2.513256 0
2.527244 0
2.539376 0
2.550901 0
2.561926 0
2.573652 0
2.585363 0
2.596172 0
2.607015 0
2.618549 0
2.634092 0
2.645244 0
2.656265 0
2.667381 0
2.678324 0
2.689362 0
2.700641 0
2.711534 0
2.7229 0
2.734049 0
2.745863 0
2.757725 0
2.769142 0
2.779984 0
2.790862 0
2.802239 0
2.81341 0
2.825309 0
2.836766 0
2.848762 0
2.859817 0
2.871196 0
2.882345 0
2.893646 0
2.904889 0
2.916194 0
2.927125 0
2.938556 0
2.949902 0
2.960718 0
2.972385 0
2.98408 0
2.994671 0
3.005981 0
3.017313 0
3.028433 0
3.040228 0
3.051295 0
3.062505 0
3.074089 0
3.085084 0
3.095646 0
3.106165 0
3.117451 0
3.128072 0
3.138693 0
3.149311 0
3.160036 0
3.17057 0
3.181333 0
3.191865 0
3.202622 0
3.218151 0
3.228868 0
3.240748 0
3.252652 0
3.263778 0
3.27468 0
3.285639 0
3.29708 0
3.310645 0
3.321227 0
3.332068 0
3.343031 0
3.35417 0
3.365383 0
3.376539 0
3.389023 0
3.401148 0
3.412154 0
3.422833 0
3.435057 0
3.445558 0
3.456412 0
3.467083 0
3.477665 0
3.488642 0
3.499437 0
3.516678 0
