時間[s] 推定速度[km/h]
0 0
0.02 0
0.07 0
0.1180603 0
0.1451149 0
0.1615468 0
0.1744372 0
0.1902179 0
0.2028924 0
0.2151601 0
0.227958 0
0.2433903 0
0.2555929 0
0.2674257 0
0.27978 0
0.2954634 0
0.3083362 0
0.3200653 0
0.3340068 0
0.3473675 0
0.3594467 0
0.3713957 0
0.3844164 0
0.3968682 0
0.4097772 0
0.4263446 0
0.4389089 0
0.4512121 0
0.4642676 0
0.477136 0
0.4896671 0
0.5051085 0
0.5188267 0
0.5314162 0
0.5439695 0
0.5566011 0
0.5697616 0
0.5818983 0
0.5944991 0
0.6065471 0
0.6192144 0
0.6324875 0
0.6461359 0
0.6587888 0
0.6705482 0
0.6832873 0
0.6961796 0
0.7098261 0
0.7217734 0
0.734722 0
0.7489823 0
0.7612492 0
0.7733357 0
0.7861462 0
0.7998394 0
0.8122573 0
0.8244258 0
0.8368406 0
0.8503531 0
0.8627204 0
0.875158 0
0.888005 0
0.9001943 0
0.9151197 0
0.9278946 0
0.9404903 0
0.9525106 0
0.9649233 0
0.9777592 0
0.9904124 0
1.003198 0
1.01625 0
1.029146 0
1.040765 0
1.052755 0
1.065493 0
1.078025 0
1.090583 0
1.102975 0
1.117916 0
1.13185 0
1.144265 0
1.158104 0
1.170665 0
1.184603 0
1.197334 0
1.209959 0
1.222381 0
1.23511 0
1.247873 0
1.260355 0
1.272412 0
1.285493 0
1.304279 0
1.319658 0
1.331906 0
1.343754 0
1.356825 0
1.369013 0
1.381397 0
1.394182 0
1.406884 0
1.418956 0
1.430853 0
1.442977 0
1.455695 0
1.468443 0
1.483896 0
1.495747 0
1.507657 0
1.522625 0
1.535148 0
1.547917 0
1.559706 0
1.572497 0
1.584862 0
1.597538 0
1.609681 0
1.622124 0
1.635583 0
1.649884 0
1.662745 0
1.675222 0
1.687878 0
1.700141 0
1.713812 0
1.729471 0
1.741916 0
1.754829 0
1.767218 0
1.779386 0
1.792309 0
1.804866 0
1.817483 0
1.830419 0
1.842362 0
1.855087 0
1.867458 0
1.87985 0
1.891927 0
1.904874 0
1.916654 0
1.930489 0
1.94283 0
1.955423 0
1.968447 0
1.981239 0
1.993176 0
2.005225 0
2.017971 0
2.030518 0
2.042404 0
2.054128 0
2.066518 0
2.079428 0
2.091715 0
2.104263 0
2.116149 0
2.129289 0
2.142939 0
2.15498 0
2.167124 0
2.180056 0
2.191716 0
2.204303 0
2.216537 0
2.229114 0
2.242003 0
2.254409 0
2.266983 0
2.279577 0
2.291716 0
2.303561 0
2.316795 0
2.330464 0
2.345966 0
2.360193 0
2.372663 0
2.386196 0
2.398614 0
2.411949 0
2.42412 0
2.436445 0
2.449093 0
2.461571 0
2.473138 0
2.485214 0
2.497618 0
2.509617 0
2.522223 0
2.534619 0
2.549532 0
2.56217 0
2.574866 0
2.587197 0
2.599932 0
2.612242 0
2.629169 0
2.641882 0
2.653702 0
2.666215 0
2.680057 0
2.692327 0
2.704054 0
2.716645 0
2.730304 0
2.743253 0
2.758279 0
2.771362 0
2.783808 0
2.796942 0
2.809885 0
2.82249 0
2.834631 0
2.847267 0
2.85942 0
2.871623 0
2.883964 0
2.896933 0
2.909627 0
2.921522 0
2.933652 0
2.945562 0
2.960895 0
2.973106 0
2.985406 0
2.997838 0
3.010176 0
3.023506 0
3.035578 0
3.048512 0
3.060754 0
3.074047 0
3.085941 0
3.098578 0
3.110807 0
3.123239 0
3.135874 0
3.147792 0
3.162469 0
3.174753 0
3.187284 0
3.19936 0
3.211513 0
3.224032 0
3.23688 0
3.249043 0
3.260855 0
3.273307 0
3.285309 0
3.297756 0
3.30972 0
3.32169 0
3.334937 0
3.348615 0
3.364333 0
3.37818 0
3.390308 0
3.402485 0
3.415145 0
3.426964 0
3.441715 0
3.454803 0
3.468327 0
3.480849 0
3.493744 0
3.506524 0
3.519315 0
3.532074 0
3.544762 0
3.558106 0
3.572198 0
3.584474 0
3.597371 0
3.609827 0
3.621866 0
3.634843 0
3.64776 0
3.659742 0
3.671848 0
3.685513 0
3.698365 0
