時間[s] 推定速度[km/h]
0 0
0.02 0
0.07 0
0.1162747 0
0.1366682 0
0.1486616 0
0.1617213 0
0.173889 0
0.1862965 0
0.1980403 0
0.2099769 0
0.2219428 0
0.2337656 0
0.2471727 0
0.2590591 0
0.2709601 0
0.2895089 0
0.3048004 0
0.3179306 0
0.3307031 0
0.3475262 0
0.3606099 0
0.3733038 0
0.3856963 0
0.3982874 0
0.410445 0
0.4220617 0
0.4339635 0
0.4459374 0
0.4586551 0
0.4705684 0
0.4830258 0
0.4970253 0
0.5094529 0
0.5230508 0
0.5359495 0
0.5477855 0
0.5596753 0
0.5734699 0
0.5859744 0
0.5984122 0
0.6111322 0
0.6262187 0
0.6387205 0
0.6504464 0
0.6627981 0
0.6745577 0
0.6879623 0
0.7013357 0
0.7132081 0
0.7249179 0
0.7378385 0
0.7497268 0
0.7615647 0
0.7734172 0
0.7855542 0
0.7994966 0
0.812214 0
0.8238459 0
0.8358037 0
0.8483878 0
0.8600965 0
0.8721505 0
0.8840624 0
0.8962296 0
0.9106984 0
0.9229906 0
0.935536 0
0.9472059 0
0.9599727 0
0.9719216 0
0.9835728 0
0.9954791 0
1.0074 0
1.01998 0
1.031638 0
1.043394 0
1.055024 0
1.06688 0
1.079683 0
1.091552 0
1.103325 0
1.117309 0
1.130332 0
1.143815 0
1.157498 0
1.170522 0
1.183075 0
1.195333 0
1.208065 0
1.220565 0
1.232362 0
1.245702 0
1.257872 0
1.271348 0
1.283083 0
1.295229 0
1.308501 0
1.358501 0
1.391718 0
1.409491 0
1.423626 0
1.437254 0
1.450436 0
1.463322 0
1.475824 0
1.487748 0
1.537748 0
1.566108 0
1.578473 0
1.59088 0
1.604525 0
1.618078 0
1.630461 0
1.643211 0
1.655518 0
1.668664 0
1.681136 0
1.704349 0
1.723399 0
1.7371 0
1.749267 0
1.762487 0
1.7771 0
1.792533 0
1.80826 0
1.82334 0
1.835778 0
1.848452 0
1.860889 0
1.882975 0
1.89487 0
1.907377 0
1.919513 0
1.931513 0
1.94325 0
1.955047 0
1.967889 0
1.979941 0
1.991819 0
2.004421 0
2.017892 0
2.040162 0
2.054405 0
2.066057 0
2.078306 0
2.090556 0
2.103681 0
2.11546 0
2.128154 0
2.140112 0
2.152385 0
2.164073 0
2.176088 0
2.194214 0
2.206661 0
2.219274 0
2.233593 0
2.246055 0
2.257979 0
2.270679 0
2.282656 0
2.295224 0
2.307105 0
2.320003 0
2.33223 0
2.349348 0
2.361776 0
2.373737 0
2.385501 0
2.397293 0
2.409426 0
2.421606 0
2.436434 0
2.448433 0
2.461091 0
2.473685 0
2.486653 0
2.505128 0
2.518147 0
2.530399 0
2.542585 0
2.554548 0
2.5663 0
2.578636 0
2.590327 0
2.602232 0
2.614356 0
2.626862 0
2.640633 0
2.661897 0
2.674186 0
2.686866 0
2.698811 0
2.71129 0
2.723251 0
2.735457 0
2.747228 0
2.759404 0
2.771465 0
2.783135 0
2.795761 0
2.81292 0
2.825781 0
2.838046 0
2.85237 0
2.864069 0
2.875996 0
2.888818 0
2.901225 0
2.913967 0
2.925979 0
2.938441 0
2.950443 0
2.96846 0
2.980287 0
2.992045 0
3.004783 0
3.017178 0
3.0309 0
3.045605 0
3.061052 0
3.074575 0
3.086834 0
3.099049 0
3.11119 0
3.130167 0
3.142955 0
3.155305 0
3.167427 0
3.180031 0
3.191736 0
3.203608 0
3.215224 0
3.227022 0
3.2395 0
3.251475 0
3.26531 0
3.282052 0
3.294722 0
3.307321 0
3.319279 0
3.331079 0
3.342838 0
3.35586 0
3.367876 0
3.379482 0
3.391349 0
3.404119 0
3.416056 0
3.433 0
3.444866 0
3.457116 0
3.474876 0
3.486886 0
3.498485 0
3.510162 0
3.522608 0
3.534508 0
3.546539 0
3.558029 0
3.570707 0
3.588025 0
3.600068 0
3.612034 0
3.624061 0
3.638704 0
3.651841 0
3.664064 0
3.678292 0
3.691528 0
3.704109 0
3.716287 0
3.729072 0
3.746163 0
3.757892 0
3.770633 0
3.782299 0
3.794433 0
3.806648 0
3.819918 0
