時間[s] 起点x 起点y 起点z ベクトルx ベクトルy ベクトルz
7.968005 0.03403598 0.002395706 -0.05225627 -0.09098816 0.3816071 0.9198151
8.001339 -0.03124399 0.001000275 -0.04904222 -0.09657288 0.1837463 0.9782104
8.034672 -0.03289199 -0.0004311524 -0.04556476 -0.07794189 0.153656 0.9850311
8.068006 -0.03311205 -0.0007695008 -0.04484798 -0.09861755 0.1547546 0.9830017
8.101338 -0.03425539 0.0003111725 -0.04568138 -0.08653259 0.184845 0.9789429
8.201339 -0.03430162 -0.001838959 -0.04060236 -0.03538513 0.06988525 0.9969177
8.234672 0.007990937 -0.003105499 -0.04078766 -0.09011841 0.1450806 0.9852905
8.268005 -0.03148894 0.001244736 -0.04589356 -0.03993225 0.1310577 0.9905548
8.301339 -0.03109638 0.002441544 -0.0456324 -0.01976013 0.1770935 0.9839783
8.334672 -0.03157308 0.002733597 -0.0461003 -0.01046753 0.2020569 0.9793091
8.434672 -0.03355112 0.0005558014 -0.05127805 0.05690002 -0.1446228 0.9878387
8.468005 -0.03635358 0.002018158 -0.06109557 0.1040955 -0.08546448 0.9908752
8.601338 -0.03610581 0.002294953 -0.05471718 0.05123901 0.2399597 0.9694214
8.634672 -0.005425705 0.00109581 -0.05157225 0.0509491 0.2206116 0.9740143
8.668005 -0.00316742 0.001668182 -0.05272449 0.0539856 0.1756592 0.9829559
8.701339 0.03340971 4.109192E-05 -0.04759035 0.04689026 0.1794434 0.9826355
8.734672 -0.03523098 0.00248526 -0.05436536 0.02536011 0.05064392 0.9983826
8.768005 -0.03546497 0.003841034 -0.05627459 0.02038574 -0.02313232 0.9995117
8.801338 0.03372838 -0.001292694 -0.04261523 0.03890991 0.002700806 0.9992371
8.834672 0.03379659 -0.001862167 -0.04175556 0.02934265 -0.02357483 0.9992828
8.868006 0.03378056 -0.00102832 -0.04288106 0.02339172 0.009399414 0.9996796
8.901339 0.02662062 2.198792E-05 -0.04510132 -0.0001373291 0.006195068 0.9999695
8.934672 -0.01288011 0.001557541 -0.04917464 -0.01554871 0.00592041 0.9998474
8.968005 -0.03449748 0.002760422 -0.05202046 -0.02438354 0.008087158 0.9996643
9.001339 -0.03477991 0.002893128 -0.05188913 0.005523682 0.008178711 0.999939
9.034672 -0.03478673 0.003448426 -0.05285756 0.001602173 0.01661682 0.9998474
9.068006 -0.03491501 0.003456314 -0.05246555 0.01768494 0.02333069 0.9995575
9.101338 -0.03496302 0.003556671 -0.05331986 0.02217102 0.00567627 0.9997253
9.134672 -0.03519083 0.00322995 -0.05296703 0.04066467 0.01647949 0.9990234
9.168005 0.03447113 -0.0001759338 -0.04444092 -0.06710815 0.01419067 0.9976349
9.201339 0.03453662 -0.000593628 -0.04308733 -0.04763794 0.0224762 0.9986115
9.234672 0.03464739 -0.0003332672 -0.04375246 -0.05639648 0.03413391 0.997818
9.268005 0.02596065 0.0003604279 -0.04563083 -0.05221558 0.01104736 0.9985657
9.301338 -0.03025916 0.003203522 -0.05218766 -0.04618835 0.003417969 0.9989166
9.334672 -0.03464215 0.003209915 -0.05204184 -0.04763794 0.008377075 0.9988251
9.368006 0.03476808 -0.0002760315 -0.04396944 -0.01564026 0.02592468 0.999527
9.401339 0.03488066 -0.0003274994 -0.04389286 -0.04728699 0.02572632 0.9985352
9.434672 0.0008732605 0.003326859 -0.05193328 0.1254425 0.1161652 0.98526
9.468005 -0.03475086 0.004824982 -0.05547559 0.1236572 0.09742737 0.9875183
9.501339 -0.03417554 0.004769241 -0.05395955 0.122818 0.06994629 0.9899597
9.601338 0.03639513 0.001459778 -0.04597264 0.2080536 0.2661896 0.9411926
9.701339 -0.03320169 0.007627976 -0.0539562 0.08747864 0.1369324 0.9866943
9.734672 5.737305E-06 0.005377365 -0.05014493 0.08148193 0.2931976 0.9525604
9.768005 -0.02700954 0.006959122 -0.05337502 0.04017639 0.3359528 0.9410095
9.801338 0.009326966 0.004944291 -0.04903505 0.07853699 0.2615204 0.9619904
